source_url,source_sitemap,proposed_action,proposed_destination,status,notes
https://joaocrusbjj.com/,page,PRESERVE,https://joaocrusbjj.com/,READY,Homepage remains homepage
https://joaocrusbjj.com/austin-brazilian-jiu-jitsu/,page,PRESERVE,https://joaocrusbjj.com/austin-brazilian-jiu-jitsu/,READY,Canonical Austin location page
https://joaocrusbjj.com/classes-schedule/,page,PRESERVE,https://joaocrusbjj.com/classes-schedule/,READY,Canonical schedule page
https://joaocrusbjj.com/books-and-podcast/,page,PRESERVE,,CONTENT-GAP,Authority asset should not be discarded; new build needs this page
https://joaocrusbjj.com/got-questions/,page,301,https://joaocrusbjj.com/contact/,READY,Approved 2026-08-03; legacy FAQ sitelink now routes to current contact and first-class page
https://joaocrusbjj.com/team-building/,page,PRESERVE,https://joaocrusbjj.com/team-building/,READY,Canonical teams page
https://joaocrusbjj.com/kids-program/,page,PRESERVE,https://joaocrusbjj.com/kids-program/,READY,Canonical kids hub
https://joaocrusbjj.com/6-weeks-of-confidence/,page,REVIEW,,BLOCKED,Offer and guarantee are not finalized
https://joaocrusbjj.com/adults-program/,page,PRESERVE,https://joaocrusbjj.com/adults-program/,READY,Canonical adult program page
https://joaocrusbjj.com/testimonials/,page,PRESERVE,,CONTENT-GAP,Valuable trust page; migrate verified testimonials before cutover
https://joaocrusbjj.com/coaches/,page,PRESERVE,https://joaocrusbjj.com/coaches/,READY,Canonical coaching hub
https://joaocrusbjj.com/training-programs/,page,PRESERVE,https://joaocrusbjj.com/training-programs/,READY,Canonical program directory
https://joaocrusbjj.com/bjj-messenger/,page,REVIEW,,BLOCKED,Confirm whether this product remains part of the authority hub
https://joaocrusbjj.com/boundary-guard/,page,REVIEW,,BLOCKED,Separate business line; preserve until architecture is approved
https://joaocrusbjj.com/kids-bjj-blueprint-landing/,page,REVIEW,,BLOCKED,Lead-magnet path and form destination require confirmation
https://joaocrusbjj.com/privacy-policy/,page,PRESERVE,https://joaocrusbjj.com/privacy-policy/,BLOCKED,New legal copy must be finalized before indexation
https://joaocrusbjj.com/terms/,page,PRESERVE,https://joaocrusbjj.com/terms/,BLOCKED,New legal copy must be finalized before indexation
https://joaocrusbjj.com/contact-form/,page,301,https://joaocrusbjj.com/contact/,PROPOSED,Legacy form page
https://joaocrusbjj.com/contact/,page,PRESERVE,https://joaocrusbjj.com/contact/,READY,Canonical contact page
https://joaocrusbjj.com/free-class/,page,REVIEW,,BLOCKED,Trial structure is not final
https://joaocrusbjj.com/wp-booking-calendar-time-appointments/,page,REVIEW,,BLOCKED,Legacy booking endpoint; confirm active links and booking migration
https://joaocrusbjj.com/wp-booking-calendar-contact/,page,REVIEW,,BLOCKED,Legacy booking endpoint; confirm active links and booking migration
https://joaocrusbjj.com/wp-booking-calendar-time-slots/,page,REVIEW,,BLOCKED,Legacy booking endpoint; confirm active links and booking migration
https://joaocrusbjj.com/wp-booking-calendar-full-day/,page,REVIEW,,BLOCKED,Legacy booking endpoint; confirm active links and booking migration
https://joaocrusbjj.com/in-house-tournament/,page,PRESERVE,,CONTENT-GAP,Event history may carry links and local authority
https://joaocrusbjj.com/1381-2/,page,301,https://joaocrusbjj.com/,PROPOSED,Inspect content and backlinks before approval
https://joaocrusbjj.com/wp-booking-calendar/,page,REVIEW,,BLOCKED,Legacy booking endpoint; do not remove until replacement is live
